Room 1,248,233,Rapael, 1500-1600
Room 2,224,220,Rapael, 1500-1600
Shop,233,191,Shop,present
Room 4,201,221,Rapael, 1500-1600
Room 5,201,192,Rapael, 1500-1600
Room 6,179,221,Rapael, 1500-1600
Room 7,160,234,Rapael, 1500-1600
Room 8,142,215,Rapael, 1500-1600
Room 9,142,168,Venice, 1500-1600
Room 10,175,168,The Sacred and Profane in sixtenth-century Italian art,1500-1600
Room 11,203,168,Veronese's' Four Allegories of Love',1500-1600
Room 12,225,168,Northen Italian Portraiture,1500-1600
Central Hall,267,168,Central Hall,present
Room 14,202,144,The Netherlands,1500-1600
Room 15,150,119,Rembrandt and Van Dyck,1600-1700
Room 16,127,128,"Cranach the elder Huber and Seisenegger",1600-1700
Room 17,127,110,"Altdorfer RottenhammerWertinger",1600-1700
Room 17A,129,99,Paastel in the 18th and 19th centuries,1600-1700
Room 18,151,72,Rubens,1600-1700
Room 19,121,88,Dutch landscapes,1600-1700
Room 20,124,71,A different view of flanders,1600-1700
Room 21,124,52,Van Dyck,1600-1700
Room 22,176,52,Rembrandt,1600-1700
Room 23,179,69,Dutch portraiture,1600-1700
Room 24,176,87,International ambitions,1600-1700
Room 25,201,87,A New Art For A New Nation (2),1600-1700
Room 26,167,101,"Brueghel the Elder van der Heyden van de Velde",1600-1700
Room 27,186,100,"de Hooch Saenredam Vermeer",1600-1700
Room 28,201,100,A New Art For A New Nation (1),1600-1700
Room 29,204,118,French Painting ,1600 - 1700
Room 30,270,120,Spain,1600-1700
Room 31,270,97,Room Closed,null
Room 32,336,115,17th-centrury Italian paintings,1600-1700
Room 33,389,120,"David Fragonard and Vernet",1700-1930
Room 34,390,169,"Constable Turner and Stubbs",1700-1930
Room 35,364,169,Hoharth and British Painting,1700-1930
Room 36,338,169,Claude and Turner,1700-1930
Room 37,338,145,The Grand Tour,1700-1930
Room 38,309,167,Canaletto and Guardi,1700-1930
Room 39,290,169,"Canaletto Pittoni and Tiepolo",1700-1930
Room 40,335,195,18th Century painting in Europe,1700-1930
Room 41,395,213,"Cézanne Monet and Renoir",1700-1930
Room 42,379,233,Room Closed,1700-1930
Room 43,362,229,"Gauguin Seurat Van Gogh",1700-1930
Room 44,337,229,Cézanne Degas Monet,1700-1930
Room 45,308,224,Constable Corot and Ingres,1700-1930
Room 46,290,231,Gainsborough's Blue Boy,1500-1600
Sunley Room,240,146,Room Closed,null
Room 51,57,160,Italy,1250-1350
Room 51A,56,143,Fra Angelico friar-painter of San Domenico,1200-1500
Room 52,62,182,Siena,1300-1450
Room 53,63,197,Florence and Beyond,1440-1470
Room 54,64,216,Mantegna and Crivelli,1200-1500
Room 55,62,235,Venice and the Veneto,1460-1510
Room 56,58,251,Venice after 1500,1200-1500
Room 57,38,243,Ferrara and Bologna,1200-1500
Room 58,38,213,Botticeli and Filippino Lippi,1200-1500
Room 59,38,192,Florence,1460-1500
Room 60,38,160,Forentine Altarpieces, 1350 - about 1460
Room 61,17,160,Central Italy,1480-1520
Room 62,17,180,Cologne and north-western Germany,1200-1500
Room 63,17,200,15th Century Netherlandish painting,1200-1500
Room 64,17,220,Beyond the Netherlands,1200-1500
Room 65,17,234,Southern Germany and Austria,1200-1500
Room 66,21,248,Leonardo da Vinci at the National Gallery,1200-1500
